Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
테스트 이슈,"이런 형식으로 작성해주시면 됩니다. 첨부파일 올라갑니다.

글 작성시에 @thermosgroup  해당 태그 걸어주시면 관련 담당자들에게 모두 메일이 갑니다.

due date 같이 작성 부탁드립니다. 라벨의 경우 임시로 세팅해두었으나 해당 부분 필요시 수정 가능합니다.",1,https://git.innerviewit.com/root/thermos/-/issues/1,Closed,Admin,root,"","",No,No,,2022-08-17 09:06:51,2022-09-23 18:04:25,2022-09-23 18:04:25,,,수정요청,0,0
뉴이슈 (테스트),테스트[220812_EC_네이버스토어_연동상품_옵션_추가.pptx](/uploads/ca46d33a99090ee7011615f99b73bb4b/220812_EC_네이버스토어_연동상품_옵션_추가.pptx),2,https://git.innerviewit.com/root/thermos/-/issues/2,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-19,2022-08-17 09:44:52,2022-08-18 10:54:17,2022-08-18 10:54:17,,,디자인,0,0
비로그인 상태 시 할인가 노출 수정 요청,"'@thermosgroup 

**7/13 수정 건 롤백되어 있음**

비로그인 상태에도 회원할인가가 노출되게 바꿨는데 다시 롤백되어 있습니다.
1) 제품리스트페이지
2) 상세페이지

![image](/uploads/48671f2677098de4ce04e313cdf2327f/image.png)
![image](/uploads/dd90027c8b44696aca4613790ac9d580/image.png)

**8/17 기획전**

타임세일 제품에도 비로그인 상태에서 회원할인가 노출 요청
1) 제품리스트페이지
2) 상세페이지

기획전페이지가 아닌 상품에서 유입되는 경우 이벤트 내용 확인이 어려우므로 정상가로 구입할 수 있음

![image](/uploads/dda59e60567d9643d491b47f1eb4acba/image.png)",3,https://git.innerviewit.com/root/thermos/-/issues/3,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-17,2022-08-17 11:17:35,2022-08-18 10:01:21,2022-08-18 10:01:21,,,"완료,퍼블",0,0
테스트_1,상세페이지 수정,4,https://git.innerviewit.com/root/thermos/-/issues/4,Closed,um seung hyun,ush,"","",No,No,,2022-08-17 14:37:37,2022-08-18 10:57:06,2022-08-18 10:57:06,,,"디자인,퍼블",0,0
공식몰 제품 찾기 기능,"'@thermosgroup <br>
확인해본 결과, 공식몰 제품 찾기 기능이 제대로 작동되나 해시태그를 잘못 기재한 상품들이 있습니다.<br>
예시로, 3번째 해시태그에 ""원터치오픈""이라고 기재해야하는 부분이 ""원터치""로 들어가있는 상품이 있어 결과가 나오지 않았습니다.<br>
혹시 제대로 기입했음에도 노출되지 않은 상품이 있다면 말씀 부탁드리겠습니다. <br><br>
1. **첫번째 해시태그** <br>
- 성인청소년 <br>
- 어린이 <br>
- 영유아 <br><br>
2. **두번째 해시태그** <br>
- 데일리 <br>
- 홈오피스 <br>
- 스포츠캠핑 <br><br>
3. **세번째 해시태그** <br>
- 원터치오픈<br>
- 스크류오픈<br>
- 스트로타입<br>
- 컵포트<br>
- 시피컵<br>
- 빨대컵<br>
- 텀블러<br><br>
4. **네번째 해시태그**<br>
- 스몰<br>
- 미디엄<br>
- 라지<br>
- 1L초과<br><br>",5,https://git.innerviewit.com/root/thermos/-/issues/5,Closed,Park Soohyun,soohyun,"","",No,No,,2022-08-17 18:10:24,2022-08-18 10:01:07,2022-08-18 10:01:07,,,완료,0,0
[작업완료] 8/25 오픈건 이벤트 퍼블리싱,"'@thermosgroup 8/25 오픈 이벤트건 퍼블리싱 완료되어 전달드립니다. <br>
https://www.thermosshop.kr/promotion/promotion_view_24.html<br>
JNR-351K, JOI-350K 제품은 현재 진열안함 상태로 설정해두어, 404페이지로 이동됩니다. 이 부분 참고 부탁드리겠습니다. <br><br>
추가로 카카오톡 공유하기 템플릿 제목/내용 전달주시면 반영하겠습니다.<br>
확인 부탁드리겠습니다.",6,https://git.innerviewit.com/root/thermos/-/issues/6,Closed,Park Soohyun,soohyun,"","",No,No,,2022-08-18 10:45:43,2022-08-30 15:38:44,2022-08-30 15:38:44,,,완료,0,0
상품 검색 오류,"'@thermosgroup 

PC/MO 상품 검색이 정상작동하지 않습니다.
확인 부탁드립니다.

![image](/uploads/b30b37702fd4d9dca23ecefe1baa3477/image.png)
![image](/uploads/7401b26e093d1ac74d8a1e860f62c7af/image.png)
![image](/uploads/970dfd342b6571bc27c8885bc46e5f14/image.png)",7,https://git.innerviewit.com/root/thermos/-/issues/7,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-18,2022-08-18 10:56:09,2022-08-19 08:47:53,2022-08-19 08:47:53,,,퍼블,0,0
'마이 디자인 스티커' 오픈,"![image](/uploads/49a5817186f94eddcc9b8565038b5110/image.png)
![image](/uploads/9ed63b8b2ead03d2c4d9b390d9ff4c49/image.png)

1) 신규 상세페이지로 갈이
2) 옵션명 변경 - 위의 이미지 중 2번째 참고
3) 썸네일에 마이디자인스티커1 에셋 전부 삭제
4) 썸네일에 마이디자인스티커1 + 마이디자인스티커2 떼샷 추가 (제품리스트 페이지에 노출되는 메인 썸네일로 지정)

@soohyun 
매니저님, 며칠 전 펜딩한 마이디자인스티커 오픈 건입니다.
'마이 디자인 스티커'가 8/25 런칭이었으나 스티커1(단종)에 대한 문의가 많아 마이 디자인 스티커만 제품 전에 먼저 오픈하고자 합니다.

@thermosgroup",8,https://git.innerviewit.com/root/thermos/-/issues/8,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-19,2022-08-18 12:26:12,2022-08-30 15:38:28,2022-08-30 15:38:28,,,"완료,퍼블",0,0
8/25 신제품 블로그 리뷰 URL 적용 요청,"'@thermosgroup 
신제품 블로그 링크 상세페이지 배너에 연결 부탁드립니다.
JOI-350K는 내일 오픈됩니다. 오픈 후 URL 추가하겠습니다.

JNR-351K: https://blog.naver.com/thermos_kr/222855411442",9,https://git.innerviewit.com/root/thermos/-/issues/9,Closed,Jiyoun Kim,KIM,"","",No,No,2022-08-25,2022-08-23 16:03:35,2022-08-30 15:38:04,2022-08-30 15:38:04,,,"완료,퍼블",0,0
9/1 회원 혜택 포토리뷰 적립금 수정 요청,"'@thermosgroup 공식몰 회원 혜택 중 포토리뷰 적립금이  500원 -> 700원 으로 변경 됩니다. 
9/1 적용 부탁드립니다.

![회원_혜택](/uploads/09ec978fc70a7686693a511bfeed6060/회원_혜택.png)",10,https://git.innerviewit.com/root/thermos/-/issues/10,Closed,um seung hyun,ush,"","",No,No,,2022-08-25 08:27:33,2022-09-07 15:53:02,2022-09-07 15:53:02,,,완료,0,0
